民宿标题,价格,地利,评论数,得分,适合居住人数
红旗街商圈品质民宿【蓝月雅舍】之轻奢·橙,232,近湖西桥地铁站,12,4.9,2
【小欧】红旗街 吉大一院 万达  南湖 这有山 奥斯卡酒吧  轻奢风2居3床6人  大飘窗大视野,376,None,6,5.0,6
【海棠•民宿-马卡龙】红旗街万达||这有山||智能门锁自助入住||独立公寓||投屏,197,近建设广场地铁站,14,4.9,4
市中心重庆路人民广场永春轻奢榻榻米投影房,207,None,1,5.0,4
轻奢风大床房赛得广场/中日联/中东大市场,155,近东南湖大路地铁站,49,4.9,2
【橙途】红旗街万达/这有山/欧式轻奢两居,210,None,32,4.9,4
秋千吊床双人浴缸房,299,近仙台大街地铁站,5,5.0,2
卫星广场/市政府/绿地/宝护伞侘寂大床房,158,近卫光街地铁站,10,5.0,2
清幽小筑民宿-中东旁复式北欧风韵度假房,168,近长青地铁站,28,4.7,2
红旗街万达【花糖 暖居】巨屏投影/双人大床/紧邻这有山/欧亚商都/南湖,191,None,3,4.8,2
《袋鼠民宿》麻将房，温馨大床，密码自助！,166,None,2,5.0,3
龙翔广场/北湖公园/北欧风情轻奢两居,226,近光机路地铁站,12,4.9,4
【觅途】之Loft 摩洛哥风格大床房 / 净月大学城 / 恒丰时代 / 麦德龙 / 福祉大路 ,193,None,19,4.9,2
近地铁近大学温馨私享私人影院/投影设备轻奢双人大床,111,None,5,5.0,2
十二  欧亚春城空调房停车方便 吉大 近大学近大学近大学绿小87中,230,近和平大街地铁站,19,5.0,8
标准双床房,138,近长春站北地铁站,3,5.0,4
【婚纱自拍/弧形大窗观景房】欧亚新生活,169,近文化广场地铁站,4,5.0,2
绿城米兰公馆豪华欧式大床房,174,近浦东路地铁站,8,5.0,2
【橙途】近轻轨/一汽集团/松宇雅致两居,208,None,46,4.8,4
近新天地购物公园近医院近大学Loft复式大客厅,108,None,2,5.0,2
【橙途】长春师范/大禹奥城/现代清新两居,226,None,5,5.0,4
(大众寓前进大街店)轻奢风，提供车位，密码锁无接触入住，临近吉林大学，栖乐荟，前进大街，欢乐城，理工,156,None,2,5.0,2
惠工路豪华复式loft双床电梯密码锁,216,近东新路地铁站,7,5.0,6
市政府/宝护伞日租舒适公寓/高速口,158,近卫明街地铁站,38,4.9,2
遇见》人民广场壹克拉公馆网红吊床,166,近平阳街地铁站,4,5.0,2
长春南湖主题复式loft酒店南湖公园商圈布朗熊主题复式loft大床套房,119,近卫明街地铁站,34,4.8,2
近(在建)7号线近商圈温馨私享,156,None,1,5.0,2
密码入住中日联谊医院欧亚超市旁豪华家庭房,138,近公平路地铁站,10,5.0,2
美式loft双人浴缸全智能影咖3号房,318,近卫明街地铁站,7,4.8,2
遇见私宅（北湖店）北湖吾悦广场旁,128,None,4,5.0,2
【橙途】南岭体育场/动植物园/麻将三居,280,None,3,5.0,6
红旗街万达/这有山/省医院/可做饭两居室,498,近湖西桥地铁站,20,4.9,6
【橙途】净月大学城/万科城一期/简约两居,224,None,24,5.0,4
南湖旁莫兰迪主题复式跃层loft大床套房,131,近卫明街地铁站,9,5.0,2
高新南区硅谷大街北欧极简轻奢温馨私享私人影院肿瘤医院动画学院100寸幕布可手机投屏智能门锁,106,None,1,5.0,2
双大床房/长春站北/宽城万达/可月租长租/交通便利,159,None,6,4.8,4
长春站万达高贵典雅大床房（可月租）,130,None,4,5.0,2
超美摩洛哥民宿 MOLI—拾六城市民宿,151,近南湖大路地铁站,8,4.8,2
"拾光民宿
做一家有温度的民宿（高清投影）",150,None,3,5.0,2
初见·寒露【会展中心】【地铁三号线】【净月潭公园】【长影世纪城】【投影仪超级影视会员】大床房,195,近世纪广场地铁站,11,5.0,2
轻奢投影南湖湖景房,169,None,1,5.0,2
【橙途】北湖公园/吾悦广场/轻奢两居,245,None,6,5.0,4
长春舒心蓝色经典小屋《低于100以下用空调收费20元》,121,近长春站北地铁站,53,4.7,2
近大学地中海风格主题自助公寓可泡澡温馨私享,139,None,1,5.0,2
＜美居＞紧邻宽城区政府/近中东砂之船/地铁站/大两居落地窗/空调/双燃气灶可做饭,249,None,2,5.0,5
净月大学城侘寂风两室一厅公寓近大学落地窗,239,None,2,5.0,4
都市驿站近,140,None,1,5.0,4
万龙国际欧亚超市温馨舒适精装两居室电梯房,178,近北环城路地铁站,23,4.9,4
医大二院重庆路活力城天伦精品公寓清雅轩,150,近胜利公园地铁站,38,5.0,2
深度消毒赠一次性口罩(万豪世纪广场店)2,138,近世纪广场地铁站,16,5.0,2
《拾•光》民宿红旗街商圈品质民宿,254,None,4,5.0,2
『柒玖』私享豪华湖景吉大南校/动画学院/,172,None,3,5.0,2
中东大市场旁投影实图餐桌吧台高脚椅红酒杯,128,近东环城路地铁站,4,3.9,2
长春北站万达广场楼上特价大床房,108,近长春站北地铁站,3,4.7,2
【觅途】 轻奢主题LOFT大床房/会展中心/东南湖大路/赛德广场/中东大市场/中日联谊医院,150,None,2,5.0,2
含浴缸、双燃气灶的奢华一居室 净月大学城,188,近世纪广场地铁站,5,4.7,2
橙途】长春师范/大禹奥城/时尚ins两居,226,None,26,4.9,4
【海棠•民宿-梦想家】红旗街万达||这有山||智能门锁自助入住||独立公寓||投屏,197,近建设广场地铁站,14,5.0,2
像素公馆LOFT复式大床房（会展中心店）,118,近世纪广场地铁站,141,4.8,2
印心•初见北欧风南湖投影仪主题大床房,134,近卫明街地铁站,26,4.7,2
【云端轻舍•绿野仙踪】民康路壹克拉/地铁2号线/人民广场/吉大二院/巨幕投影/密码锁,178,None,7,5.0,2
