民宿标题,价格,地利,评论数,得分,适合居住人数
【万科】大床房/地下停车场/【兔兔家】24小时管家服务/地铁六号线,191,近科技路站地铁站,159,5.0,2
高新路中大国际旁万科loft公寓,236,近科技路站地铁站,24,4.8,2
『皇城』回民街钟鼓楼地口清凉三床四人间,268,近钟楼地铁站,239,4.9,4
钟楼咖啡民宿,247,None,1,5.0,2
东骊人家-山景房/休闲露台/烧烤/麻将,458,近临潼兵马俑旅游区,38,4.9,5
『皇城』回民街钟楼地铁口清爽两室一厅套房,351,近钟楼地铁站,913,4.9,4
【天意】西安小雁塔附近两室套房,253,近南稍门地铁站,130,5.0,5
Domo哆猫北欧一居室永兴坊火车站双地铁,214,近五路口地铁站,4,5.0,2
印象城麻将房夫妻椅清新风钟鼓楼永兴坊大明宫遗址公园龙首原地铁口,409,近龙首原地铁站,86,4.9,8
临潼骊山新家园温馨两室套房,208,近临潼兵马俑旅游区,185,4.9,4
【拾光树屋】钟鼓楼•回民街•城墙•步行可达,288,None,4,5.0,2
Domo哆猫北欧一居室永兴坊火车站双地铁,214,近五路口地铁站,4,5.0,2
印象城麻将房夫妻椅清新风钟鼓楼永兴坊大明宫遗址公园龙首原地铁口,409,近龙首原地铁站,86,4.9,8
临潼骊山新家园温馨两室套房,208,近临潼兵马俑旅游区,185,4.9,4
【拾光树屋】钟鼓楼•回民街•城墙•步行可达,288,None,4,5.0,2
喜玛臻选未来中心糖糖House大床房,206,近丈八北路站地铁站,46,4.8,2
参宿丨ins风投影仪地铁口大雁塔钟鼓楼回民街南门大明宫芙蓉园skp城隍庙龙首原北客站荣民时代地铁直达,203,None,2,5.0,2
福棠雅斋/汉一室包月/回民街钟楼南门鼓楼回民街城墙,214,近永宁门地铁站,57,5.0,2
玄风雅居-近商圈全新精装温馨私享,224,None,5,5.0,2
西安小雁塔巴黎公寓三室房,358,近南稍门地铁站,67,4.6,8
【H】可停车/3分至回民街/钟楼地铁/大唐不夜城/市中心/亲子双床,337,近钟楼地铁站,142,4.9,4
钟楼/鼓楼/地铁口/回民街/大唐不夜城/两室一厅套房,452,近钟楼地铁站,921,5.0,4
【阿飞云舍】欧亚国际/近华夏文旅/loft两居,342,None,2,5.0,4
朴宿•地铁口北欧日式榻榻米影院房,224,近大明宫西地铁站,11,5.0,2
【大城小筑】高新绿地笔客唐延路太白路宜居,259,近太白南路站地铁站,28,5.0,2
温馨私享观景大床房,195,None,10,4.8,2
