民宿标题,价格,地利,评论数,得分,适合居住人数
周租月租距火车站500米/市中心近南屏街,160,近昆明火车站地铁站,3,4.8,2
【瓶子里的书】市中心/投影/电热毯/暖风机/近云大医院/昆华医院/可做饭/潘家湾,168,近潘家湾地铁站,14,5.0,2
七彩.紫郡.近高铁南站.市政府.地铁站.七彩云南第壹城,394,None,15,5.0,6
【简悠】北欧近地铁采光好温馨观市景两居,205,近星耀路地铁站,15,4.8,4
『浮生』 云泰大厦日式榻榻米投影一居近南屏街金马坊昆华医院五一站可做饭市中心日式双床,271,近五一路地铁站,223,4.8,4
【途优客】山居·近万达/近南亚/大三居,308,None,163,5.0,6
南屏街迷你屋，带投影，楼下南强小吃街南屏街老街金马碧鸡坊，近地铁站，近昆华医院近儿童医院骑行可至翠湖,151,None,5,4.8,2
近二环东路凯悦时代豪华精品跃层两居室,202,近大树营地铁站,144,4.9,4
【過叁-No.3】昆明市区，近南屏街金马碧鸡坊沃尔玛独门独户日式小院近3号线近商圈私人影院/投影设备,196,None,2,5.0,2
（椿禧）吾悦广场轻奢复式loft大床公寓,187,近昌源中路地铁站,64,4.9,2
环宿•静谧(滇池卫城一号)整套独享，独立花园,164,近滇池风景区,3,5.0,2
【彼岸 朴素】近43医院 云大医院   高楼层景观好，独立空调  尝百余种昆明小吃 近翠湖南屏街,134,None,2,4.5,2
【途优客】拾玥·投影南亚风情/爱情海,223,None,102,4.9,2
莫兰迪PLUS/100寸投影/带空调/楼下南屏步行街/网红小吃街/顺城王府井百货/恒隆广场/地铁直达,215,近东风广场地铁站,56,4.8,2
【相约昆明】温馨私享/清新静谧大床房（c）_时尚简约/全景落地窗/毗邻昆明火车站/大悦城/机场大巴,136,None,5,4.8,2
绿植园loft,308,近交三桥地铁站,4,5.0,6
【城宿3号】市中心翠湖南屏街地铁口金马坊滇池蜗居房,191,None,9,4.8,2
【周木匠•滇朴】loft翠湖南屏街金马坊,221,近交三桥地铁站,48,4.8,5
昆明近大观楼宇宁精品公寓大床房（空调房）,149,近市体育馆地铁站,119,4.7,2
梦精灵﻿民族风情房高铁南站包接送,89,近谊康南路地铁站,2,5.0,2
【慢生活·马卡龙】火车站旁300米/近大悦城/金马坊老街/温馨2居空调套房,230,None,8,5.0,4
昆明长水机场24时免费接送豪华大床房,95,近机场中心地铁站,225,4.6,2
【城宿4号】市中心翠湖南屏街地铁口金马坊滇池蜗居房,127,None,4,4.7,2
【途优客】涵梵|长乐里/万达欧式大三居,306,None,102,4.9,6
昆明齐天酒店呈贡新区/高铁南站豪华舒适家庭套房,143,近谊康南路地铁站,6,5.0,4
｛颐朵民宿｝西山/昆华院/玉龙湾清新公寓,120,None,7,5.0,2
【新宿】轻奢精选大床房+南站接送+空调,127,近谊康南路地铁站,2,4.9,2
蓝海天晴民宿/实力心城/长租短租/地铁口/昆明南站/七彩云南第壹城/云大医院/大飘窗,148,None,6,5.0,2
