民宿标题,价格,地利,评论数,得分,适合居住人数
「归凡别墅」日式榻榻米大床房【致真】,138,None,1,5.0,2
漓江边 两江四湖 复式家庭影院异域风情房,192,近两江四湖,101,4.9,4
米丫•【画坊】象山景区旁/近东西巷复古三房,316,None,12,5.0,6
步行3分钟到西街，浪漫、舒适温馨小居,343,None,28,5.0,5
龙脊梯田（免费接送）千层天梯全景阳台大床房,280,None,68,4.9,2
漓想民宿｜日式风～住靖江王城里，象鼻山、两江四湖、东西巷，步行游桂林市经典景区，设计师民宿,527,None,41,4.9,6
【桂旅民宿】301飞虎林居/公园旁/近师大医学院/华为/机场/免费停车/北欧精装/洗衣机烘干机可做饭,146,None,7,5.0,4
【东西巷里】两江四湖步行街+洁净艺术三居,385,近芦笛岩,171,4.9,6
喜大普奔特惠大床房/近两江四湖象鼻山,119,近火车南站,9,5.0,2
【半夏】市中心漓江风景区，黑色婚纱主题民宿-暮晨,147,近火车南站,9,5.0,3
阳朔民宿Mochi墨池日式榻榻米双人间,260,None,34,5.0,2
【东西巷里】两江四湖步行街+洁净艺术三居,385,近芦笛岩,171,4.9,6
两江四湖步行5分钟木龙湖桂湖北欧山景公寓,219,近芦笛岩,12,5.0,5
【悠家】万达广场三居室·近两江四湖象鼻山·融创国际旅游度假区优选·家庭出游·方便停车· 可做饭·,244,None,3,5.0,6
【隐园】阳朔十里画廊遇龙河畔·全景家庭房,354,None,25,4.9,3
🌈阳朔鸟语花香/近西街/标间/免费停车,120,None,469,5.0,2
依庐居/临东西巷两江四湖/江山领.秀江景,220,近七星景区,28,5.0,2
风格可多选 步行 象鼻山 两江四湖 景区 高清投影仪 可投屏  步行桂林站五分钟,136,None,136,4.9,2
绿苑•财富名城（智能家居、免费停车、已消毒）甲天下、国际会展中心,149,None,7,4.7,4
【静苑·简约风】25近西街/大床房/可渡轮/可月租/可停车,123,None,89,5.0,2
日式家庭影院大床房近象鼻山两江四湖可做饭,198,近火车南站,197,4.9,2
近遇龙河西街千古情全景落地窗暖心亲子间,151,None,3,5.0,3
西街漓江边城景标间/县城免费接/亲子家庭房/免费停车场/天然氧吧（近印象刘三姐、十里画廊）,220,None,35,5.0,3
吾悠日式ins/近万达广场/两江四湖/近火车站/近医院近大学/享投影,177,None,6,5.0,2
阳台观景双大床房 近西街/遇龙河/桂林千古情+免费停车或接站+电动车+推荐骑行路线+美食推荐,160,None,5,5.0,2
【拖+带◇】桂林北站.品质家庭套房,286,近火车北站,52,4.9,5
恒大影城58㎡高层公寓·邻北站·机场巴士,118,近火车北站,46,4.8,4
火车站近象鼻山 你好民宿 大床房,110,近火车南站,48,4.7,2
【桂旅民宿】301飞虎林居/公园旁/近师大医学院/华为/机场/免费停车/北欧精装/洗衣机烘干机可做饭,146,None,7,5.0,4
北欧ins主题投影房/桂林站200米/投影房/象鼻山/漓江/东西巷/洗衣房/前台招待/停车场,157,None,22,5.0,2
【城徽象鼻山】文艺轻奢北欧风&市中心步行象鼻山+两江四湖,260,近两江四湖,86,4.9,4
归舍，泥巴房/大阳台单房/漓江/两江四湖/十字街/解放桥/公园景区/WiFi/江景,129,近两江四湖,4,5.0,2
漓江江景花园/步行游两江四湖东西巷大床房,186,近七星景区,43,4.9,2
温馨亲子房！环境优雅，深度好睡眠 ！位置在阳朔中心点 ，距离景点都很近 ！,98,None,47,5.0,4
远方的家【免费停车】温馨大床房-市中心5分钟-近象鼻山 -七星公园 -两江四湖,116,None,84,5.0,2
【十里画廊内 】近遇龙河庭院雅致三人间,180,None,5,4.7,3
象鼻山旁步行两分钟两江四湖温馨公寓住3人,195,近两江四湖,5,5.0,3
【浮光初槿】市中心/少女纱幔大床房,166,近两江四湖,14,4.7,2
步行2分钟到阳朔西街，带阳台花园温馨小居,319,None,50,4.9,5
烟雨漓江三居套房&近象鼻山两江四湖桂林站,363,近火车南站,50,5.0,6
伴星合园❥现代设计四合院-全景玻璃大床房,290,近七星景区,36,4.7,2
漓江江景花园/步行游两江四湖江景大床房,297,近七星景区,7,4.9,2
步行3分钟到西街，浪漫、舒适温馨小居,343,None,28,5.0,5
近象鼻山桂林站+洁净轻奢文艺亲子，观景阳台就餐好停车,268,近火车南站,13,5.0,4
消毒·安心住 「蠻好的」No.3摩洛哥风格 东西巷王城 两江四湖 象鼻山 近市中心近大学温馨私享影院,171,近两江四湖,15,5.0,2
林涧小栈~（阳台大床房）,186,None,80,5.0,2
慕江居江景房大标间免费停车,190,近芦笛岩,24,5.0,3
江畔.隐居★天字上房-King型大床 近东西巷/象鼻山/七 星公园,158,近七星景区,113,5.0,2
梯田望野家庭间,140,None,34,4.8,3
悦风亲子房/阳朔·遇龙河大门千古情空中观景台/县城内入住接送,286,None,14,5.0,3
【童话的城堡】花园洋房大三居近万达广场火车站+送旅游攻略,333,近万达广场,124,4.9,6
龙脊梯田金坑.赏月，度假，烧烤，有游泳池,198,None,6,4.3,2
【优旅】近市中心/象鼻山/日月双塔/百货大楼温馨双床房/可短租,137,None,30,5.0,4
阳朔漓江古樟园20元人民币风景区/阳朔高铁站山景双床房,119,None,23,4.8,2
玖号民宿/阳光大床房（免费接送机）,126,None,11,5.0,2
西街蓉家山景大厨房+洗衣机好停车近西街5分钟代购景点票,442,None,65,5.0,6
桂林北/西站设计师品牌•暮归阳台投影房,170,近火车北站,30,5.0,2
追梦的心 双床家庭投影房象鼻山 桂林站,214,近火车南站,154,4.9,4
临近西街遇龙河宋城千古情景区二房一厅民宿免费停车,182,None,6,4.9,4
逃离城市向往生活田园山水，聚会做饭烧烤麻将带宠物，免费停车有热水袋，近市中心芦笛象鼻山，整栋带院3居,468,近火车北站,27,4.8,7
『漓云拾光』白色摩洛哥全景投影浴缸房,136,None,26,5.0,2
近西街  公园旁  日式榻榻米投影  免费停车含双早 景点门票代订  电动车租赁,275,None,416,5.0,2
