民宿标题,价格,地利,评论数,得分,适合居住人数
【翠岛2】南站大床/近夫子庙地铁至新街口,133,近花神庙地铁站,57,4.9,2
『Modern times』日归丨夫子庙核心区域 临夫子庙地铁口丨近老门东 中华门丨直达新街口玄武湖,151,近夫子庙地铁站,331,4.9,2
【国王与乞丐】两室一厅|近新街口,240,None,3,4.2,4
「凯铂公寓」美式复古新街口市区德基广场夫子庙玄武湖珠江路地铁旁,168,None,9,4.9,2
秦淮河畔。夫子庙周边。地铁站500米可达。温馨精品大床房。,226,None,None,None,2
每日酒精消毒｜高档公寓，地下停车，有厨房,157,近永初路地铁站,112,4.9,2
紫峰大厦新街口玄武湖美食街INS百寸投影,190,近鼓楼地铁站,13,4.9,2
独享公寓楼下就是夫子庙 100寸温馨巨幕私人投影,152,None,17,4.5,2
万达茂·楚天公寓·温馨大床房·地铁口旁,116,近仙林湖地铁站,10,5.0,2
蓝调艺术设计民宿舒曼影院双床房近禄口机场/S1地铁线,148,近空港新城江宁地铁站,217,4.9,3
[子兰103]南站双床/近地铁夫子庙商圈,118,近大明路地铁站,103,4.9,2
ins清新风  品质大床房 地铁10号线 近南工业大学 青奥,142,None,9,4.9,2
夫子庙地铁口[北欧森林物语]IMAX巨幕,178,近夫子庙地铁站,58,4.8,2
爱丽丝 夫子庙日式榻榻米两居室,320,近夫子庙地铁站,10,4.8,4
近南京南站 临地铁口朝南温馨大床房102,134,近胜太西路地铁站,5,5.0,2
已消毒·涟居仙林大学城苏宁总部旁轻奢一居,161,近苏宁总部·徐庄地铁站,50,4.8,2
南京知竹小宅民宿新街口地区/市中心温馨亲子房,203,近上海路地铁站,6,4.6,3
Bilin南京南站夫子庙地铁影院loft,206,近明发广场地铁站,17,4.8,2
「后尘」独享房源 阅江楼｜狮子山 南京站 婚纱 洛丽塔 汉服 中山码头 南京西站 电影院 购物商城,121,None,2,5.0,2
必得主题民宿(南京奥体中心兴隆大街地铁站店)河西/奥体中心/奥南地区大床房,104,近兴隆大街地铁站,107,4.5,2
「熙小宅.畳」夫子庙新街口日式两居公寓,360,近夫子庙地铁站,18,4.9,4
【十七筑】夫子庙/新街口/复古轻奢/巨幕,197,近张府园地铁站,19,5.0,4
半宅·巷陌繁花|夫子庙瞻园老门东总统府水游城茂业天地|大床100MAX巨幕投影温馨一居| ,248,None,5,4.7,2
【沐汤】云栖小栈日式汤屋 近玄武湖夫子庙近医院近大学近商圈,286,None,6,4.9,2
《小米院子》夫子庙景区，秦淮河，水游城，新街口，地铁口，中式风温馨两居室，有朋自远方来，不亦乐乎,304,None,3,5.0,6
(秦淮民俗)9 LOFT北欧风格公寓,132,近武定门地铁站,4,5.0,2
每日消毒｜奥体复古公寓，品牌设施停车方便,148,近永初路地铁站,88,4.9,2
《池夏中国风》大Loft百寸投影南京南站,222,None,4,5.0,4
每日消毒｜奥体复古公寓，品牌设施停车方便,148,近永初路地铁站,88,4.9,2
《池夏中国风》大Loft百寸投影南京南站,222,None,4,5.0,4
（梧桐语）下马坊地铁站、中山陵 美玲宫 南农 南理工 温私享私人影院,166,None,3,5.0,2
【叮当家の】南京站3号线地铁原木投影房,210,None,4,5.0,3
『熙禾』闲岁若染-新街口‖艾尚新百金鹰‖珠江路‖巨幕投影‖夫子庙‖地铁口旁‖南京南站机场直达,201,近珠江路地铁站,31,5.0,2
小清新田园时尚甜美风，绿野仙踪N2.随云自在，紧邻秦淮夫子庙.老门东.南京南站.白鹭洲.水游城.整套,148,近武定门地铁站,37,5.0,4
阳光公寓☀️A-6浦口明发整套两室65平,167,近南京工业大学地铁站,22,5.0,4
