民宿标题,价格,地利,评论数,得分,适合居住人数
轻奢·两室一厅套房、多库存，五一广场1号地铁出口、lFS国金中心、太平街、坡子街、黄兴广场,537,None,154,5.0,4
【星城民宿】五一广场简约黑白灰大床房,286,近五一广场地铁站,210,4.9,2
兰亭湾畔北欧风复式江景公寓,189,近铁道学院地铁站,52,4.5,2
梅溪湖g投影仪/loft/楼下地铁口/五一广场.lfs国金中心.橘子洲.岳麓山.火车站高铁,197,None,2,5.0,2
【清澜】橘子洲江景投影公寓五一广场步行街,341,近侯家塘地铁站,8,5.0,2
【美天】五一广场九龙仓大屏投影双床房（房间随机安排）,414,近五一广场地铁站,100,4.9,4
【美天】五一广场九龙仓大屏投影双床房（房间随机安排）,414,近五一广场地铁站,100,4.9,4
马上到家•青竹•已消毒/省儿童医院/侯家塘地铁/贺龙体育馆/楼梯房/橘子洲/岳麓山/五一广场/酒吧街,382,近侯家塘地铁站,39,5.0,4
【o_w民宿•云端】大落地窗/可免费寄存行李/日式简约风格木床落地窗/开福寺站/靠近五一广场黄兴广场,310,近开福寺地铁站,44,4.8,2
【Ann’House】北欧Ins风住宅,245,近南湖路地铁站,39,4.9,2
长沙银湾民宿五一广场/IFS国金中心/长沙站银湾秋梦温馨小屋,134,近迎宾路口地铁站,17,4.7,2
轻奢风观景大床房，近女子学院，红星德思勤,142,近友谊路地铁站,123,4.8,2
地铁3号线，烈士公园，省博物馆,268,None,6,5.0,2
灰木 北欧太平街坡子街五一广场榻榻米公寓,299,近黄兴广场地铁站,65,4.8,2
长沙桂雅悦酒店公寓洋湖/大王山度假区亲子家庭套房,233,近洋湖湿地公园,10,4.5,4
【O-W民宿·茶马古道】（天悦店）复古主义风/投影仪/全身镜/靠近梅溪湖/览秀城/涉外/可寄存行李,198,None,9,5.0,2
五一广场地铁口1号出口灰白两室一厅,460,近五一广场地铁站,360,4.9,4
Z38【龙猫】可月租!两面朝江/地铁口/近奥克斯广场/岳麓山/橘子洲，51广场8km,318,None,4,4.8,2
喜月民宿(长沙鸿铭中心店)五一广场/IFS国金中心/长沙站内窗榻榻米房,333,近袁家岭地铁站,156,4.9,2
【悠家】长沙师范学院|金银沙滩|湖南安全技术学院|湖南工程职业技术学院|关羽广场|高层电梯江景公寓,190,近星沙,11,4.9,4
【邂·逅】北欧大床房/五一商圈/太平街/坡子街/国金IFS/黄兴广场/酒吧一条街/火宫殿,265,近黄兴广场地铁站,1068,4.9,2
长沙怡家酒店公寓梅溪湖/麓谷商圈时尚大床房,121,近麓云路地铁站,7,5.0,2
