公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
边锋,u3d客户端开发,20k-35k,"移动互联网,游戏 不需要融资 2000人以上",经验5-10年 不限,“六险一金；弹性工作；餐补；年终奖”,前端开发 ,[北下关]
ARPA,高级软件工程师,25k-40k,"企业服务,信息安全,区块链,数据服务 未融资 15-50人",经验不限 本科,“将会与清北PhD、技术大牛和增长专家共事”,信息安全 区块链 ,[国贸]
理工科惠,u3d开发工程师,10k-15k,"教育,VR丨AR 不需要融资 15-50人",经验1-3年 本科,“让你重新回到校园生活”,教育 VR .NET webGL Unity3d ,[海淀区]
TOPGAME,unity3d开发工程师,12k-18k,游戏 上市公司 150-500人,经验3-5年 本科,“八险一金，弹性工作时间，员工体检”,游戏 Unity3d ,[南磨房]
TOPGAME,unity3d主程,20k-30k,游戏 上市公司 150-500人,经验5-10年 本科,“八险一金，弹性工作时间，员工体检”,游戏 Unity3d ,[南磨房]
高灯科技,.net架构师,20k-30k,"移动互联网,电商 B轮 500-2000人",经验5-10年 大专,“腾讯系公司，B轮融资10亿，公园办公环境”,大数据 移动互联网 C# docker 架构师 分布式 ,[朝阳区]
车音智能,项目经理,15k-25k,"移动互联网,其他 上市公司 150-500人",经验5-10年 本科,"“带薪年假,绩效奖金,五薪一金”",项目管理 PMP ,[安定门]
臻牛科技,前端开发工程师,9k-14k,软件开发 未融资 50-150人,经验3-5年 大专,“双休”,教育 Vue ,[万柳]
百度,私有云高级存储运维工程师,25k-50k·16薪,工具 不需要融资 2000人以上,经验3-5年 本科,“发展空间大，待遇丰厚”,大数据 Linux ,[海淀区]
疯狂游戏,客户端主程序（U3D）,35k-60k,"移动互联网,游戏 不需要融资 150-500人",经验5-10年 本科,“制作人超资深，超高奖金”,游戏 Unity3d C/C++ ,[海淀区]
思托睿科技,Unity3D 主程,25k-50k,人工智能 不需要融资 50-150人,经验5-10年 本科,“FunPlus是一家全球性的互动娱乐公司”,游戏 Unity3d 移动端 ,[五道口]
北京联盛众赢科技有限公司,u3d主程,30k-60k·14薪,游戏 A轮 50-150人,经验10年以上 本科,“同事经验丰富 公司福利好”,游戏 Unity3d ,[朝阳区]
知网,.NET研发工程师,8k-16k,"移动互联网,电商 上市公司 2000人以上",经验不限 本科,“和谐的工作氛围，打造自我能力展示的舞台”,C#/.NET ,[西三旗]
原力棱镜,TA/技术美术（技术向）,30k-60k,游戏 不需要融资 50-150人,经验5-10年 本科,“研运发一体、全球性互动的游戏公司”,游戏 Unity3d ,[海淀区]
建信金科,unity开发工程师,20k-40k,"金融,软件开发 不需要融资 2000人以上",经验1-3年 本科,“五险两金，带薪休假，公司食堂，出游团建”,移动互联网 移动端 前端开发 Unity3d ,[太平桥]
