公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
哈啰出行,高级数据运营(J13183),8k-12k,"移动互联网,硬件 D轮及以上 2000人以上",经验3-5年 本科,“独角兽企业，平台好，发展空间大，薪酬优厚”,移动互联网 数据分析 ,[江岸区]
字节跳动,后端开发 Leader — 效率工程,40k-80k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,股票期权,免费三餐,租房补贴”",后端开发 ,[洪山区]
字节跳动,前端研发工程师 — aPaaS 团队,20k-40k,文娱丨内容 C轮 2000人以上,经验1-3年 本科,“六险一金”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[洪山区]
顺丰科技有限公司,DSQ-测试工程师-武汉岗位,18k-35k,"软件开发,数据服务 不需要融资 2000人以上",经验3-5年 本科,“职位发展前景大，福利高”,测试 ,[流芳]
跟谁学,数据分析专家,30k-50k,"移动互联网,教育 上市公司 2000人以上",经验5-10年 本科,“大牛多 待遇佳 氛围好”,数据分析 ,[街道口]
跟谁学,测试主管（专家）,24k-38k·14薪,"移动互联网,教育 上市公司 2000人以上",经验5-10年 本科,“美股上市 发展空间大 福利好”,移动互联网 测试管理 ,[街道口]
石墨文档,数据开发工程师-武汉,15k-25k,工具 B轮 150-500人,经验3-5年 本科,"“挑战性技术,牛人云集,上升空间大”",数据挖掘 数据仓库 数据分析 ,[关山]
纸贵科技,Java开发工程师（武汉）,15k-26k,"文娱丨内容,企业服务 A轮 50-150人",经验3-5年 本科,“带薪假期、员工福利、扁平管理”,Java Golang ,[武昌区]
九州通医药集团股份有限公司,机器学习算法工程师,10k-15k·13薪,电商 上市公司 2000人以上,经验1-3年 硕士,“上市公司 周末双休 机器学习 NLP”,深度学习 文本分类 ,[汉阳区]
华中时讯,算法工程师,15k-20k·13薪,"移动互联网,社交 A轮 50-150人",经验3-5年 本科,“福利待遇好”,社交 ,[东湖新技术开发区]
掌游科技,高级数据产品经理 (MJ000032),13k-20k,"移动互联网,游戏 上市公司 150-500人",经验5-10年 本科,“福利多多，五险一金，晋升空间大”,电商 移动互联网 ,[南湖]
掌游科技,高级大数据开发工程师 (MJ000018),15k-25k,"移动互联网,游戏 上市公司 150-500人",经验3-5年 本科,“福利多多，五险一金，晋升空间大”,移动互联网 大数据 Spark Hadoop Hive ,[南湖]
盈嘉互联,测试工程师,10k-15k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,"“五险一金,免费零食,技术提升,健康体检”",测试 脚本 自动化 功能测试 ,[关山]
Trusfort芯盾时代,测试工程师,8k-15k·13薪,"移动互联网,信息安全 C轮 150-500人",经验3-5年 本科,"“五险一金,年终奖,节日福利,发展空间”",性能测试 ,[东湖新技术开发区]
嘟比科技,测试主管,12k-14k,"移动互联网,信息安全 未融资 15-50人",经验5-10年 本科,“带薪年假、加班零食、绩效奖、地铁口”,性能测试 自动化测试 测试开发 ,[中北路]
优品财富管理有限公司,LinuxC/C++,8k-15k,金融 未融资 500-2000人,经验3-5年 本科,"“腾讯团队,薪酬好,福利好,氛围好”",服务器端 ,[流芳]
