公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
陕西中盾,中级软件工程师,5k-8k,"信息安全,数据服务 未融资 15-50人",经验3-5年 本科,“技术领先行业，学习氛围好”,信息安全 大数据 C# MySQL .NET ,[旺座现代城]
富士通（西安）,软件工程师,7k-11k,移动互联网 不需要融资 500-2000人,经验不限 本科,“发展前景好，团队实力强”,工具软件 移动互联网 Java .NET C# C ,[雁塔区]
陕西元视数码科技,C/C++软件研发高级项目经理,10k-15k,软件开发 未融资 少于15人,经验1-3年 不限,“年终奖、社保、带薪年假、人才激励”,C++ Windows QT MFC ,[高新技术产业开发区]
赛思科技,软件开发工程师,5k-10k,"人工智能,软件开发 不需要融资 15-50人",经验不限 本科,“上升空间大 发展平台好”,Web前端 .NET Java C++ ,[徐家湾]
华为西安,自动化测试工程师,12k-24k,移动互联网 不需要融资 2000人以上,经验3-5年 本科,“岗位工资+绩效奖金+年终奖，14薪。”,即时通讯 移动互联网 自动化测试 Selenium 功能测试 app测试 ,[雁塔区]
西安承信网络信息技术有限公司,.NET开发,10k-12k,"移动互联网,电商 未融资 15-50人",经验3-5年 本科,“缴纳五险，周末双休。”,大数据 移动互联网 后端 Linux/Unix ASP 平台 ,[雁塔区]
菁华软件,嵌入式软件工程师,8k-10k,"移动互联网,金融 未融资 15-50人",经验1年以下 本科,“嵌入式”,后端 C++ C ,[高新技术产业开发区]
九瑭,.NTE开发工程师,8k-12k,企业服务、物联网 未融资 少于15人,经验1-3年 大专,“节日礼品，项目奖金，技术大咖，物联网项目”,企业服务 金融 C#/.NET ,[雁塔区]
西安普华,.net开发工程师,6k-8k,移动互联网 未融资 15-50人,经验3-5年 本科,“五险一金、年终奖、商业保险、交通通讯补贴”,移动互联网 C#/.NET Javascript ,[新城区]
友德信息,.NET开发工程师,7k-10k,"移动互联网,医疗丨健康 不需要融资 50-150人",经验3-5年 不限,"“周末双休,五险一金,绩效奖金”",软件开发 ,[高新技术产业开发区]
盛宝隆,开发,10k-15k,"移动互联网,数据服务 不需要融资 15-50人",经验3-5年 本科,“技术前沿，大牛带队，发展潜力”,服务器端 C#/.NET ,[雁塔区]
上海科箭软件,高级C#开发,14k-20k·13薪,其他 未融资 50-150人,经验不限 本科,“物流软件产品、.net core、微服务”,物流 企业服务 C# MySQL ,[雁塔区]
Huatek,.net开发工程师,10k-20k,"电商,移动互联网 未融资 150-500人",经验5-10年 本科,"“五险一金,补助,带薪假期,晋升空间”",Winform C#/.NET ,[高新技术产业开发区]
