公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
派客朴食,python开发工程师,8k-15k,"移动互联网,电商 不需要融资 50-150人",经验1-3年 大专,“团队出游、节假日福利等”,Python MySQL ,[海珠区]
建杉科技,python开发工程师,5k-7k,"硬件,电商 天使轮 少于15人",经验1-3年 不限,“周末双休+不加班+五险一金+下午茶+团建”,Python ,[大学城]
天锐医健,python开发,6k-9k,"移动互联网,信息安全 未融资 50-150人",经验1-3年 大专,“五险一金，周末双休，年底双薪”,医疗健康 移动互联网 ,[黄埔区]
字言智语,python工程师,1k-2k,"工具,软件开发 未融资 少于15人",经验应届毕业生 不限,“远程工作”,工具软件 企业服务 Python ,[珠江新城]
编程猫,编程猫少儿编程教师（Python方向）,8k-12k,"移动互联网,教育 C轮 2000人以上",经验1-3年 本科,“行业前景大、个人成长快、五险一金、双休”,教育 ,[天河城]
网易,python开发工程师,15k-30k,电商 上市公司 2000人以上,经验不限 本科,“6险1金，带薪年假，免费猪厂食堂，16薪”,Python ,[天河区]
网易,python服务端开发工程师,15k-30k,电商 上市公司 2000人以上,经验不限 本科,“16薪，项目奖金”,游戏 Python Linux/Unix C++ C ,[珠江新城]
英荔教育,Python高级软件工程师,9k-18k,"企业服务,教育 不需要融资 50-150人",经验1-3年 本科,“双休 带薪假 年假 晋升大 气氛融洽”,教育 企业服务 后端 Linux/Unix Python 音视频 ,[天河北]
Arts Alliance Media（中国）,Python高级开发工程师,15k-26k,数据服务 未融资 50-150人,经验3-5年 本科,“高效团队”,Python ,[荔湾区]
和码科技,python高级开发工程师,12k-15k,教育 A轮 500-2000人,经验3-5年 本科,“双休 五险一金 CBD办公环境”,Python Shell ,[东圃]
嫚熙控股（广州）有限公司,python爬虫工程师,9k-14k,电商 未融资 15-50人,经验1-3年 大专,“有发展前景的行业、高额奖金、大牛带队”,电商 Python ,[白云区]
ImageDT图匠数据,python后台开发工程师,15k-30k,"企业服务,数据服务 A轮 150-500人",经验3-5年 本科,“五险一金，弹性化，福利完善，年终奖金”,Python MySQL docker ,[海珠区]
张量信息,python后端开发工程师,5k-8k,移动互联网 / /,经验不限 本科,“注重人才培养，不定期技术分享，技术氛围强”,教育 后端 服务器端 Python ,[海珠区]
深圳市浮思特科技有限公司,高级后端开发工程师（python&GO）,15k-25k·16薪,"移动互联网,硬件 未融资 50-150人",经验5-10年 本科,“上市公司，福利好”,大数据 Hadoop Python Golang 后端 ,[天河区]
妙小程少儿编程,python教研（本科以上，8-12k）,8k-12k·13薪,教育 A轮 150-500人,经验1-3年 本科,“弹性工作自由福利好”,年底双薪 股票期权 带薪年假 专项奖金 ,[天河区]
中思拓大数据研究院,高级Python工程师,13k-25k,"数据服务,软件开发 不需要融资 50-150人",经验3-5年 本科,“平台好、团队稳定 职位发展好 薪酬福利多”,数据挖掘 数据分析 数据库 ,[天河区]
互信网络,python爬虫工程师,6k-8k,移动互联网 未融资 15-50人,经验1-3年 不限,“每周下午茶，公司团建等”,体育 爬虫 python爬虫 爬虫工程师 ,[天河区]
中康资讯,Python爬虫工程师(J10205),18k-25k·14薪,"移动互联网,医疗丨健康 不需要融资 150-500人",经验5-10年 本科,“朝阳行业 福利齐全 技术大咖齐聚”,Python ,[珠江新城]
拉勾猎头,手游客户端开发（python/c++/c#）,15k-25k,"移动互联网,企业服务 D轮及以上 500-2000人",经验1-3年 本科,“大厂”,一手内推信息 猎头专业服务 名企保面试 精准高效对接 ,[员村]
网易,python服务端开发工程师,18k-36k,电商 上市公司 2000人以上,经验3-5年 本科,“福利好 大平台”,服务器端 Python ,[天河区]
浙大华南院,Python研发工程师,10k-20k,"移动互联网,企业服务 不需要融资 150-500人",经验3-5年 本科,“五险一金 定期团建 周末双休 节日福利”,视频 C# C++ Python 视频识别 ,[黄埔区]
创拓信息,Python程序员学徒,2k-3k,"电商,消费生活 天使轮 50-150人",经验应届毕业生 本科,“发展空间大”,Python 后端 ,[番禺区]
创拓信息,Python程序员学徒,2k-3k,"电商,消费生活 天使轮 50-150人",经验不限 大专,“发展空间大”,PHP Python ,[番禺区]
宜华科技,中级Python开发,10k-20k,"移动互联网,数据服务 不需要融资 150-500人",经验3-5年 不限,“外资公司，企业文化开发，临江办公”,本地生活 Python 分布式 后端 ,[花地湾]
超悦文化,python后端,3k-6k,软件开发 未融资 少于15人,经验不限 大专,“轻松的氛围，人性化的团队管理”,电商 ,[越秀区]
广东人民出版社,初级讲师（Python方向）,7k-10k,电商 上市公司 150-500人,经验1-3年 本科,“五险一金，补贴，双休，定期体检，员工活动”,教育 ,[东湖]
广东人民出版社,高级讲师（Python方向）,12k-15k,电商 上市公司 150-500人,经验3-5年 本科,“五险一金，补贴，双休，定期体检，员工活动”,电商 ,[东湖]
头文科技,python爬虫,7k-12k,"移动互联网,企业服务 不需要融资 50-150人",经验1-3年 本科,“周末双休，扁平化管理，互联网内容营销”,大数据 数据挖掘 ,[番禺区]
凌晨网络科技,研发工程师（java/python）,10k-20k,信息安全 天使轮 15-50人,经验1-3年 本科,“14薪，全年工作表现优秀者可享额外奖金；”,信息安全 Java Python ,[天河区]
