公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
蜂雀投资,股票量化交易基金经理,20k-30k,金融 不需要融资 50-150人,经验5-10年 本科,“优质的平台，卓越的业绩，无限的发展空间。”,股票 基金 基金管理 基金分析 ,[武侯区]
商汤科技,高级运维工程师,20k-40k,人工智能 C轮 2000人以上,经验5-10年 本科,“周末双休；竞争力的薪资；午餐补贴”,Python Linux K8s/Docker 运维开发 ,[高新区]
星罗互动,C++服务器开发（初级、中级,6k-12k·13薪,游戏 未融资 50-150人,经验1-3年 大专,“五险一金、员工培训、团建、生日福利、下午茶”,游戏 Python ,[高新区]
云和恩墨,资深算法工程师,25k-40k·14薪,数据服务 不需要融资 500-2000人,经验5-10年 本科,“行业标杆 行业领先 发展空间大 技术大牛”,推荐算法 搜索算法 深度学习 ,[高新区]
汇合,测试工程师,9k-14k·14薪,"企业服务,金融 不需要融资 2000人以上",经验3-5年 本科,“5天工作制 年终奖 六险一金 项目稳定”,金融 自动化测试 测试开发 Selenium ,[武侯区]
XGATE讯格得,高级测试工程师,10k-15k,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,“五险一金、周末双休、年假10天、国定假期”,Web测试 Server端测试 Loadrunner Jmeter ,[武侯区]
G7,大数据开发工程师,20k-30k·15薪,"物联网,数据服务 D轮及以上 500-2000人",经验3-5年 本科,“六险一金 带薪年假 全薪病假”,大数据 数据仓库 Spark Hive ,[高新区]
Trusfort芯盾时代,大数据开发工程师,10k-20k·13薪,"移动互联网,信息安全 C轮 150-500人",经验3-5年 本科,"“五险一金,工作居住证,节日福利,出国旅游”",数据运营 ,[高新区]
微慕客（成都）科技有限公司,研究员(部门leader),20k-30k·13薪,数据服务 不需要融资 50-150人,经验3-5年 硕士,“五险一金 弹性工作 扁平管理”,深度学习 数据挖掘 ,[双流县]
微慕客（成都）科技有限公司,课程开发（AI大数据方向）,10k-20k,数据服务 不需要融资 50-150人,经验3-5年 不限,“五险一金 弹性工作 扁平管理 微软项目”,教育 大数据 数据分析 数据挖掘 ,[双流县]
企企科技,高级自动化测试工程师,18k-25k·13薪,"移动互联网,企业服务 A轮 150-500人",经验5-10年 本科,“上班不打卡 全额社保公积金”,自动化测试 ,[高新区]
企企科技,自动化测试工程师,18k-20k·13薪,"移动互联网,企业服务 A轮 150-500人",经验5-10年 本科,“13薪 弹性双休”,移动互联网 自动化测试 ,[高新区]
天府通,DBA,10k-15k,"移动互联网,金融 不需要融资 50-150人",经验1-3年 大专,“周末双休，补充养老，带薪年假”,MySQL Oracle ,[武侯区]
天府通,高级自动化测试工程师,12k-18k,"移动互联网,金融 不需要融资 50-150人",经验5-10年 本科,"“周末双休,带薪年假”",自动化 Loadrunner Jmeter ,[高新区]
延华医疗研究院,中级测试,6k-10k,"移动互联网,医疗丨健康 上市公司 150-500人",经验1-3年 本科,“工作环境好 团队氛围融洽”,医疗健康 Jmeter ,[公平]
延华医疗研究院,大数据部经理,20k-25k,"移动互联网,医疗丨健康 上市公司 150-500人",经验5-10年 本科,“舒适办公环境，团队氛围融洽”,医疗健康 大数据 部门管理 技术管理 系统架构 决策能力 ,[公平]
揽明月,高级架构师,15k-25k,"教育,文娱丨内容 天使轮 50-150人",经验5-10年 本科,“花式下午茶 五险一金齐全”,社交 客户端 架构师 系统架构 分布式 ,[高新区]
揽明月,技术总监,20k-30k,"教育,文娱丨内容 天使轮 50-150人",经验5-10年 本科,“花式下午茶 五险一金齐全”,社交 技术管理 ,[高新区]
成都艾乐橙文化传播有限公司,运维开发工程师,12k-24k,"教育,文娱丨内容 A轮 500-2000人",经验5-10年 大专,“年终福利 、带薪寒暑假期（7-15天）”,教育 移动互联网 Linux Python Ansible ,[桂溪]
紫光云数,软件测试工程师,7k-11k,"企业服务,数据服务 不需要融资 2000人以上",经验1-3年 本科,“大拿亲带有潜力的新人”,通信网络优化 路由器配置 核心网优化 物理协议 ,[武侯区]
科大讯飞,软件测试工程师-运营商BU-成都,15k-20k,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“发展前景大”,功能测试 性能测试 自动化测试 手机测试 ,[双流县]
科大讯飞,测试开发工程师-运营商BU-成都,15k-25k·14薪,"移动互联网,数据服务 上市公司 2000人以上",经验5-10年 本科,“发展前景大 成长机会丰富”,功能测试 app测试 手机测试 性能测试 ,[双流县]
小蟾科技,数据开发工程师,10k-15k,"电商,移动互联网 不需要融资 150-500人",经验1-3年 本科,“五险一金 周末双休 带薪年假等”,电商 MongoDB MySQL Redis ,[高新区]
小蟾科技,爬虫工程师,10k-15k,"电商,移动互联网 不需要融资 150-500人",经验1-3年 本科,“五险一金 周末双休 带薪年假等”,电商 MongoDB Python MySQL ,[高新区]
武汉佰钧成技术有限责任公司,测试工程师,10k-20k,移动互联网 不需要融资 2000人以上,经验1-3年 本科,“项目稳定，大牛带队”,功能测试 自动化测试 ,[武侯区]
安迈云,高级机器人控制算法工程师,15k-20k,软件开发 不需要融资 150-500人,经验1-3年 本科,“高级技术管理 团队牛逼 项目国内领先”,,[高新区]
