公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
感动科技,c/c++软件开发工程师,20k-28k,汽车丨出行 未融资 150-500人,经验5-10年 本科,“双休五险一金带薪年假节日福利 年终奖”,Linux/Unix 流媒体转封装 视频编解码 音视频 ,[双塘]
苏宁云商集团互联网平台公司,c++开发工程师,15k-30k·14薪,电商 上市公司 2000人以上,经验3-5年 本科,"“供应链,网上商城,非外包,技术创新”",C++ ,[仙林]
慧控科技,c++开发工程师,20k-30k·14薪,移动互联网 不需要融资 50-150人,经验3-5年 本科,“一年14薪 五险一金全额缴纳”,视频 即时通讯 C++ ,[双龙大道]
易宝软件科技（南京）有限公司,c++开发工程师,13k-23k,移动互联网 上市公司 150-500人,经验3-5年 本科,“五险一金加班补助定期体检免费班车项目奖金”,C++ C ,[小行]
HTEK,C/C++开发工程师,8k-15k,移动互联网 未融资 50-150人,经验应届毕业生 本科,“弹性工作 带薪年假 领导nice”,通信/网络设备 C C++ ,[安德门]
引创,软件工程师(C/C++),6k-11k,其他 未融资 少于15人,经验不限 不限,“五险一金，双休，餐补，年终奖”,C++ C 软件开发 ,[鼓楼区]
华为技术有限公司,c++软件开发工程师,14k-25k·14薪,通讯电子 不需要融资 2000人以上,经验不限 本科,“与华为员工同薪酬体系”,电商 企业服务 C C++ ,[宁南]
恒悦信息,c++研发工程师,15k-25k,"移动互联网,电商 未融资 15-50人",经验3-5年 硕士,“五险一金、双休、带薪年假”,QT C++ MySQL ,[江宁区]
鸿英格倍,c++开发工程师,25k-35k,移动互联网 / /,经验3-5年 本科,“全额缴纳社保公积金，人手配备mac”,教育 视频 QT Linux/Unix Windows ,[雨花台区]
普旭,c++开发工程师,8k-15k,"移动互联网,信息安全 C轮 50-150人",经验不限 本科,“双休 五险一金 团建福利齐全 带薪年假”,C++ C QT ,[建邺区]
普旭,C++高级开发工程师,13k-25k,"移动互联网,信息安全 C轮 50-150人",经验3-5年 本科,“双休 五险一金 团建福利齐全 带薪年假”,后端 Linux/Unix QT C++ ,[夫子庙]
前景信息,C++高级开发工程师,15k-20k,软件开发 未融资 15-50人,经验3-5年 本科,“餐饮补贴，五险一金”,C++ ,[玄武区]
联坤软件,c++开发工程师,10k-15k,"移动互联网,企业服务 未融资 50-150人",经验1-3年 本科,"“五险一金,带薪年假,体检旅游”",C++ ,[西桥]
南京极域,C++ QT 应用开发,10k-18k,"教育,移动互联网 不需要融资 50-150人",经验不限 本科,“五险一金，双休，餐补，交通补，带薪年假”,教育 移动互联网 QT C++ Linux/Unix ,[开发区]
南京轨道交通,C++开发工程师,15k-25k,"物流丨运输,软件开发 不需要融资 150-500人",经验3-5年 本科,“轨道交通综合监控平台，自研发项目”,QT 中间件 C++ ,[奥体]
拓维信息,c++开发工程师,13k-26k·13薪,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“南京华为研究所： 南京华为研究所上班”,C++ ,[雨花台区]
亚信,c++开发工程师,12k-20k·13薪,"企业服务,移动互联网 上市公司 2000人以上",经验3-5年 本科,“上市公司 福利全面”,C++ ,[定淮门]
新知艺测,c++开发工程师,10k-20k,教育 / /,经验1-3年 大专,“五险一金、周末双休”,Linux/Unix ,[江宁区]
卡盟智能卡,c++软件工程师,8k-10k,物联网 不需要融资 少于15人,经验1-3年 大专,“主要负责与客户系统对接，无需开发，较轻松”,C++ ,[江浦]
全控航空,软件工程师c++,9k-14k·13薪,VR丨AR 未融资 50-150人,经验1年以下 硕士,“高新技术企业，vr设备，研发制造一体”,C C++ 算法 ,[江宁区]
博视医疗,软件工程师c++,15k-30k,"医疗丨健康,其他 未融资 500-2000人",经验3-5年 本科,“带薪年假 年终分红”,C++ Windows ,[雨花台区]
物盟科技,C++软件开发工程师,4k-6k,"移动互联网,其他 未融资 15-50人",经验应届毕业生 本科,“双休，五险一金，带薪年假，旅游”,大数据 云计算 C++ Linux/Unix 客户端 算法 ,[江宁区]
基蛋生物,C++开发工程师(J10334),10k-15k,医疗丨健康 不需要融资 500-2000人,经验1-3年 本科,“提供五险一金、食堂班车宿舍等福利”,C++ ,[山潘]
易宝软件科技（南京）有限公司,c++开发工程师,10k-20k,移动互联网 上市公司 150-500人,经验3-5年 本科,“试用期开始缴纳五险一金；实行双休工作制”,C++ 后端 软件开发 ,[小行]
华为技术有限公司,c++软件工程师,11k-22k,通讯电子 不需要融资 2000人以上,经验3-5年 本科,“福利待遇较好”,C++ 后端 软件开发 ,[宁南]
中船重工鹏力科技集团,c++开发工程师,10k-20k,"数据服务,硬件 不需要融资 500-2000人",经验3-5年 本科,“五险一金、带薪年假、生日福利、交通补贴”,C++ Windows ,[江宁区]
艾科朗克,软件工程师c++,10k-20k,"数据服务,金融 不需要融资 15-50人",经验不限 本科,“五险一金 周末双休 加班补助 年终奖金”,C C++ ,[光华路]
端木软件,C++开发（QT）,10k-15k,"移动互联网,电商 未融资 50-150人",经验1-3年 本科,"“五险一金,节假日福利,年终奖,旅游”",MFC QT C++ ,[宁南]
