公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
心动网络,C++服务器(J10405),18k-35k,"移动互联网,游戏 上市公司 500-2000人",经验3-5年 本科,“包三餐、年底三薪、氛围好”,游戏 后端 C++ ,[闸北区]
心动网络,资深U3D开发(J10819),30k-50k,"移动互联网,游戏 上市公司 500-2000人",经验3-5年 本科,“保底14薪，六险一金，海外旅游，包三餐”,游戏 Unity3d ,[闸北区]
蝴蝶互动,游戏平台开发工程师,12k-18k,"移动互联网,其他 C轮 150-500人",经验1-3年 本科,“大平台、有发展、弹性工作”,游戏 Java PHP Golang C# ,[张江]
平安好学,前端开发工程师,18k-28k,"移动互联网,教育 C轮 2000人以上",经验3-5年 本科,“大型互联网教育公司”,前端开发 CSS HTML5 ,[虹口区]
平安好学,后端研发主管,25k-40k,"移动互联网,教育 C轮 2000人以上",经验5-10年 本科,“大型互联网教育公司”,教育 移动互联网 后端 Javascript Java .NET ,[虹口区]
上海唯都,中级.net开发工程师,10k-18k·13薪,广告营销 未融资 150-500人,经验3-5年 本科,“弹性工作 节日福利 补充医疗保险”,汽车 广告营销 C# .NET ,[漕河泾]
上海唯都,.net软件开发工程师,12k-20k,广告营销 未融资 150-500人,经验5-10年 本科,“500强企业项目，500强企业园区”,汽车 广告营销 C#/.NET 后端 ,[漕河泾]
上海米哈游,测试开发工程师 (MJ000212),20k-40k,"移动互联网,游戏 不需要融资 500-2000人",经验不限 本科,"“六险一金,年度旅游,知名项目,扁平化”",性能测试 白盒测试 ,[徐汇区]
平安人寿,0231SE-高级测试工程师,10k-15k,金融 上市公司 2000人以上,经验1-3年 本科,"“五险一金,年终分红,带薪年假,定期体检”",金融 测试 IOS测试 Web测试 移动端 ,[浦东新区]
特赞|Tezign,高级测试开发工程师,25k-35k,移动互联网 C轮 150-500人,经验3-5年 本科,"“市中心,环境好,大牛多,氛围佳”",测试开发 自动化测试 ,[北外滩]
特赞|Tezign,测试工程师,15k-25k,移动互联网 C轮 150-500人,经验3-5年 本科,“全员持股计划、上班不打卡、扁平化管理”,测试 自动化 测试开发 ,[北外滩]
东方财富,产品经理(Choice),25k-35k·13薪,金融 上市公司 2000人以上,经验3-5年 本科,“上市公司 核心项目 五险一金 法定年假”,金融 产品策划 竞品分析 数据分析 数据 ,[徐汇区]
安恒信息,高级安全服务工程师（上海）,13k-25k,"信息安全,数据服务 上市公司 500-2000人",经验3-5年 本科,“五险一金 带薪年假 国内外旅游”,信息安全 ,[中山公园]
上海意鹰信息技术有限公司,.net开发工程师,12k-20k,"移动互联网,企业服务 B轮 150-500人",经验3-5年 本科,“晋升空间大，团队氛围好，领导Nice”,工具软件 移动互联网 Javascript C#/.NET ,[虹梅路]
娱公互动,u3d客户端,15k-25k,"游戏,社交 D轮及以上 150-500人",经验3-5年 本科,“薪资福利、发展前景、 2-6个月年终奖”,游戏 Unity3d ,[虹梅路]
屹沪电子,MES软件工程师,15k-20k·13薪,"企业服务,移动互联网 未融资 少于15人",经验3-5年 大专,“技术资源丰富，发展前景好，绩效奖金高”,ERP ,[徐家汇]
