公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
花果山,php开发工程师,8k-13k,电商 B轮 150-500人,经验1-3年 本科,“最具竞争力的薪资一风囗浪尖的行业”,新零售 移动互联网 MySQL PHP Node.js Shell ,[平湖]
易仓,高级php开发工程师,16k-25k·13薪,"移动互联网,电商 A轮 150-500人",经验5-10年 本科,“五险一金 发展空间大”,电商 PHP ,[西丽]
世嘉传媒,php工程师,15k-25k·13薪,企业服务 不需要融资 150-500人,经验3-5年 本科,“福利待遇高”,PHP Python Shell MySQL ,[科技园]
云数动能科技,高级PHP开发工程师,10k-20k,"企业服务,数据服务 未融资 15-50人",经验3-5年 本科,“周末双休 7天带薪年假”,旅游 PHP 架构师 ,[南山区]
灵图智慧,php开发工程师,10k-15k,"企业服务,软件开发 未融资 15-50人",经验3-5年 大专,“五险一金 绩效奖金 不定期团建 带薪年假”,通信/网络设备 电商 PHP 后端 软件开发 ,[龙岗区]
A星互动娱乐,php开发工程师,10k-20k·13薪,移动互联网 未融资 50-150人,经验3-5年 本科,“带薪年假丰富培训弹性工作时间年度旅游”,游戏 PHP ,[科技园]
博雅互动,php开发工程师,10k-20k,"移动互联网,游戏 上市公司 150-500人",经验3-5年 本科,"“专业培养,上市公司,游戏领先”",游戏 Laravel Linux/Unix PHP ,[南山区]
小满科技,php开发工程师,10k-19k·16薪,企业服务 C轮 150-500人,经验1-3年 本科,“福利好 成长空间大”,工具软件 PHP MySQL 后端 软件开发 ,[南山区]
农博创新NBI,PHP开发工程师,8k-12k,"硬件,移动互联网 不需要融资 15-50人",经验1-3年 本科,"“待遇好,提升空间大,年终奖,双休”",PHP MySQL 后端 ,[西丽]
A星互动娱乐,php开发工程师,15k-25k,移动互联网 未融资 50-150人,经验3-5年 本科,“周末双休、五险一金、下午茶、年度体检”,游戏 PHP 游戏开发 ,[西丽]
is smart,php开发工程师,8k-10k,"移动互联网,企业服务 不需要融资 150-500人",经验3-5年 本科,“全栈，后台开发，技术管理”,PHP MySQL 全栈 ,[南油]
探娱互动科学@移动游戏发行,php开发工程师,13k-16k,游戏 C轮 50-150人,经验3-5年 本科,“这将是你人生中最有意思的一段工作经历”,PHP MySQL 后端 ,[南山区]
派乐地科技,php开发工程师,10k-18k·15薪,游戏 A轮 50-150人,经验3-5年 大专,“周末双休年底双薪餐补补贴免费加班餐零食”,游戏 PHP 后端 服务器端 游戏开发 ,[宝安区]
三合鸿业,php开发工程师,15k-25k,游戏、区块链 未融资 150-500人,经验1-3年 大专,“五险一金 弹性工作 奖金 上升空间大”,PHP MySQL ,[福田区]
安巽科技,php开发工程师,15k-20k,信息安全 不需要融资 50-150人,经验3-5年 大专,“年终奖、项目奖、完善的职业发展通道”,信息安全 PHP ,[科技园]
小鹅（小鹅通）,高级后端开发(php＋go）,20k-30k·15薪,"移动互联网,社交 B轮 500-2000人",经验5-10年 本科,“发展空间大”,教育 PHP Golang ,[南山区]
图样科技,PHP开发组长/技术主管,15k-25k·13薪,"移动互联网,电商 不需要融资 15-50人",经验5-10年 大专,“7000万用户量高并发，周末双休，气氛活跃”,新零售 PHP Golang MySQL ,[龙华新区]
图样科技,PHP开发/小程序,12k-16k·13薪,"移动互联网,电商 不需要融资 15-50人",经验3-5年 大专,“7000万用户量高并发，周末双休，气氛活跃”,PHP Golang ,[龙华新区]
柚子街,PHP全栈工程师,9k-14k,"移动互联网,消费生活 A轮 15-50人",经验1-3年 大专,"“福利多,业绩激励,双休,不打卡”",企业服务 PHP 全栈 后端 ,[南山区]
深圳市新类型科技有限公司,PHP全栈开发工程师,8k-16k,"移动互联网,金融 不需要融资 50-150人",经验1-3年 大专,"“周未双休,五险一金,年终奖,年度调薪”",后端 ,[南山区]
